hour,point_count,distance_to_next_m,speed_kmh,avg_distance_m
0,8,34522.64431057646,0.5115095651306143,4315.330538822058
1,1,0.0,0.0,0.0
2,3,35126.9839308369,0.3813050408119587,11708.9946436123
3,0,0.0,0.0,0.0
4,2,32642.712820036366,4.067025820366618,16321.356410018183
5,0,0.0,0.0,0.0
6,11,86855.4621609714,7.654895817754385,7895.951105542854
7,271,1160934.6823957274,6.240875747586524,4283.891816958404
8,5849,2692080.9375635367,6.504605468345539,460.2634531652482
9,6992,4128800.848861863,6.561747088975943,590.5035538990079
10,6816,4451207.523000779,6.759899435055504,653.0527469191284
11,6287,4617214.913096718,7.111629233459969,734.4066984407058
12,5787,3871058.1123524923,6.696312456567961,668.9231229224973
13,5904,4548287.401956286,6.682887133320255,770.3738824451705
14,5558,4551361.146772849,6.555969917876408,818.8846971523659
15,5347,6416951.567959065,7.311206422280086,1200.1031546585123
16,3809,11234894.059916241,8.694382301394283,2949.5652559507066
17,837,6210563.709444282,14.81595568410917,7420.028326695677
18,259,3263284.377489645,3.6110550409663547,12599.5535810411
19,179,2532700.0881097023,17.138678302099546,14149.162503406158
20,101,1349709.7720533358,4.732265195852895,13363.463089636987
21,85,842680.6823160674,2.946405181596112,9913.890380189028
22,40,501017.4604885591,8.834445778603797,12525.436512213977
23,8,265455.6752434945,4.130868156672363,33181.95940543681
