month,month_name,point_count,distance_to_next_m,speed_kmh,total_distance_km,days_with_data,avg_points_per_day
1,January,3629,4001890.426650536,7.056690146847597,4001.8904266505356,,0.0
2,February,3109,4168870.4433722077,6.631268472510126,4168.870443372208,,0.0
3,March,3531,4558060.373501693,7.09878384279408,4558.060373501693,,0.0
4,April,5432,6079424.690749361,7.119169469363533,6079.424690749362,,0.0
5,May,6317,6356480.33438594,7.408495134977186,6356.48033438594,,0.0
6,June,4720,6426997.198475065,7.808912328531307,6426.997198475065,,0.0
7,July,4803,6480364.570342236,7.092061747366932,6480.364570342236,,0.0
8,August,5516,6775969.997216989,8.047048442546659,6775.969997216989,,0.0
9,September,5334,5631461.838109265,7.28862222580189,5631.461838109265,,0.0
10,October,5066,4730183.027106358,6.005277307441768,4730.183027106358,,0.0
11,November,4013,4126387.2051559924,5.828407388553189,4126.387205155992,,0.0
12,December,2684,3491260.6571774194,6.003535269237384,3491.2606571774195,,0.0
